tag	name	text	class	description	position (top-left x&y)	size (w&h)
push button	Undo	Undo		Undo [Ctrl+Z]	(75, 26)	(68, 46)
toggle button	Mode selection	Mode selection			(149, 26)	(107, 46)
toggle button	Primary menu	Primary menu			(262, 26)	(36, 46)
combo box					(-2147483648, -2147483648)	(1, 1)
menu item	Degrees	Degrees			(-2147483648, -2147483648)	(1, 1)
menu item	Radians	Radians			(-2147483648, -2147483648)	(1, 1)
menu item	Gradians	Gradians			(-2147483648, -2147483648)	(1, 1)
menu item	Parsecs	Parsecs			(-2147483648, -2147483648)	(1, 1)
menu item	Light Years	Light Years			(-2147483648, -2147483648)	(1, 1)
menu item	Astronomical Units	Astronomical Units			(-2147483648, -2147483648)	(1, 1)
menu item	Rack Units	Rack Units			(-2147483648, -2147483648)	(1, 1)
menu item	Nautical Miles	Nautical Miles			(-2147483648, -2147483648)	(1, 1)
menu item	Miles	Miles			(-2147483648, -2147483648)	(1, 1)
menu item	Kilometers	Kilometers			(-2147483648, -2147483648)	(1, 1)
menu item	Cables	Cables			(-2147483648, -2147483648)	(1, 1)
menu item	Fathoms	Fathoms			(-2147483648, -2147483648)	(1, 1)
menu item	Meters	Meters			(-2147483648, -2147483648)	(1, 1)
menu item	Yards	Yards			(-2147483648, -2147483648)	(1, 1)
menu item	Feet	Feet			(-2147483648, -2147483648)	(1, 1)
menu item	Inches	Inches			(-2147483648, -2147483648)	(1, 1)
menu item	Centimeters	Centimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Millimeters	Millimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Micrometers	Micrometers			(-2147483648, -2147483648)	(1, 1)
menu item	Nanometers	Nanometers			(-2147483648, -2147483648)	(1, 1)
menu item	Desktop Publishing Point	Desktop Publishing Point			(-2147483648, -2147483648)	(1, 1)
menu item	Kilometers per hour	Kilometers per hour			(-2147483648, -2147483648)	(1, 1)
menu item	Miles per hour	Miles per hour			(-2147483648, -2147483648)	(1, 1)
menu item	Meters per second	Meters per second			(-2147483648, -2147483648)	(1, 1)
menu item	Feet per second	Feet per second			(-2147483648, -2147483648)	(1, 1)
menu item	Knots	Knots			(-2147483648, -2147483648)	(1, 1)
menu item	Hectares	Hectares			(-2147483648, -2147483648)	(1, 1)
menu item	Acres	Acres			(-2147483648, -2147483648)	(1, 1)
menu item	Square Foot	Square Foot			(-2147483648, -2147483648)	(1, 1)
menu item	Square Meters	Square Meters			(-2147483648, -2147483648)	(1, 1)
menu item	Square Centimeters	Square Centimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Square Millimeters	Square Millimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Cubic Meters	Cubic Meters			(-2147483648, -2147483648)	(1, 1)
menu item	US Gallons	US Gallons			(-2147483648, -2147483648)	(1, 1)
menu item	Liters	Liters			(-2147483648, -2147483648)	(1, 1)
menu item	US Quarts	US Quarts			(-2147483648, -2147483648)	(1, 1)
menu item	US Pints	US Pints			(-2147483648, -2147483648)	(1, 1)
menu item	Metric Cups	Metric Cups			(-2147483648, -2147483648)	(1, 1)
menu item	Milliliters	Milliliters			(-2147483648, -2147483648)	(1, 1)
menu item	Microliters	Microliters			(-2147483648, -2147483648)	(1, 1)
menu item	Tonnes	Tonnes			(-2147483648, -2147483648)	(1, 1)
menu item	Kilograms	Kilograms			(-2147483648, -2147483648)	(1, 1)
menu item	Pounds	Pounds			(-2147483648, -2147483648)	(1, 1)
menu item	Ounces	Ounces			(-2147483648, -2147483648)	(1, 1)
menu item	Grams	Grams			(-2147483648, -2147483648)	(1, 1)
menu item	Stone	Stone			(-2147483648, -2147483648)	(1, 1)
menu item	Centuries	Centuries			(-2147483648, -2147483648)	(1, 1)
menu item	Decades	Decades			(-2147483648, -2147483648)	(1, 1)
menu item	Years	Years			(-2147483648, -2147483648)	(1, 1)
menu item	Months	Months			(-2147483648, -2147483648)	(1, 1)
menu item	Weeks	Weeks			(-2147483648, -2147483648)	(1, 1)
menu item	Days	Days			(-2147483648, -2147483648)	(1, 1)
menu item	Hours	Hours			(-2147483648, -2147483648)	(1, 1)
menu item	Minutes	Minutes			(-2147483648, -2147483648)	(1, 1)
menu item	Seconds	Seconds			(-2147483648, -2147483648)	(1, 1)
menu item	Milliseconds	Milliseconds			(-2147483648, -2147483648)	(1, 1)
menu item	Microseconds	Microseconds			(-2147483648, -2147483648)	(1, 1)
menu item	Hertz	Hertz			(-2147483648, -2147483648)	(1, 1)
menu item	Kilohertz	Kilohertz			(-2147483648, -2147483648)	(1, 1)
menu item	Megahertz	Megahertz			(-2147483648, -2147483648)	(1, 1)
menu item	Gigahertz	Gigahertz			(-2147483648, -2147483648)	(1, 1)
menu item	Terahertz	Terahertz			(-2147483648, -2147483648)	(1, 1)
menu item	Celsius	Celsius			(-2147483648, -2147483648)	(1, 1)
menu item	Fahrenheit	Fahrenheit			(-2147483648, -2147483648)	(1, 1)
menu item	Kelvin	Kelvin			(-2147483648, -2147483648)	(1, 1)
menu item	Rankine	Rankine			(-2147483648, -2147483648)	(1, 1)
menu item	Bits	Bits			(-2147483648, -2147483648)	(1, 1)
menu item	Bytes	Bytes			(-2147483648, -2147483648)	(1, 1)
menu item	Nibbles	Nibbles			(-2147483648, -2147483648)	(1, 1)
menu item	Kilobits	Kilobits			(-2147483648, -2147483648)	(1, 1)
menu item	Kilobytes	Kilobytes			(-2147483648, -2147483648)	(1, 1)
menu item	Kibibits	Kibibits			(-2147483648, -2147483648)	(1, 1)
menu item	Kibibytes	Kibibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Megabits	Megabits			(-2147483648, -2147483648)	(1, 1)
menu item	Megabytes	Megabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Mebibits	Mebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Mebibytes	Mebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Gigabits	Gigabits			(-2147483648, -2147483648)	(1, 1)
menu item	Gigabytes	Gigabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Gibibits	Gibibits			(-2147483648, -2147483648)	(1, 1)
menu item	Gibibytes	Gibibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Terabits	Terabits			(-2147483648, -2147483648)	(1, 1)
menu item	Terabytes	Terabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Tebibits	Tebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Tebibytes	Tebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Petabits	Petabits			(-2147483648, -2147483648)	(1, 1)
menu item	Petabytes	Petabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Pebibits	Pebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Pebibytes	Pebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Exabits	Exabits			(-2147483648, -2147483648)	(1, 1)
menu item	Exabytes	Exabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Exbibits	Exbibits			(-2147483648, -2147483648)	(1, 1)
menu item	Exbibytes	Exbibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Zettabits	Zettabits			(-2147483648, -2147483648)	(1, 1)
menu item	Zettabytes	Zettabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Zebibits	Zebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Zebibytes	Zebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Yottabits	Yottabits			(-2147483648, -2147483648)	(1, 1)
menu item	Yottabytes	Yottabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Yobibits	Yobibits			(-2147483648, -2147483648)	(1, 1)
menu item	Yobibytes	Yobibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Algerian Dinar	Algerian Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Australian Dollar	Australian Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Bahraini Dinar	Bahraini Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Bangladeshi Taka	Bangladeshi Taka			(-2147483648, -2147483648)	(1, 1)
menu item	Botswana Pula	Botswana Pula			(-2147483648, -2147483648)	(1, 1)
menu item	Brazilian Real	Brazilian Real			(-2147483648, -2147483648)	(1, 1)
menu item	British Pound Sterling	British Pound Sterling			(-2147483648, -2147483648)	(1, 1)
menu item	Brunei Dollar	Brunei Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Bulgarian Lev	Bulgarian Lev			(-2147483648, -2147483648)	(1, 1)
menu item	Canadian Dollar	Canadian Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	CFA Franc	CFA Franc			(-2147483648, -2147483648)	(1, 1)
menu item	Chilean Peso	Chilean Peso			(-2147483648, -2147483648)	(1, 1)
menu item	Chinese Yuan	Chinese Yuan			(-2147483648, -2147483648)	(1, 1)
menu item	Colombian Peso	Colombian Peso			(-2147483648, -2147483648)	(1, 1)
menu item	Croatian Kuna	Croatian Kuna			(-2147483648, -2147483648)	(1, 1)
menu item	Czech Koruna	Czech Koruna			(-2147483648, -2147483648)	(1, 1)
menu item	Danish Krone	Danish Krone			(-2147483648, -2147483648)	(1, 1)
menu item	Estonian Kroon	Estonian Kroon			(-2147483648, -2147483648)	(1, 1)
menu item	Euro	Euro			(-2147483648, -2147483648)	(1, 1)
menu item	Hong Kong Dollar	Hong Kong Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Hungarian Forint	Hungarian Forint			(-2147483648, -2147483648)	(1, 1)
menu item	Icelandic Krona	Icelandic Krona			(-2147483648, -2147483648)	(1, 1)
menu item	Indian Rupee	Indian Rupee			(-2147483648, -2147483648)	(1, 1)
menu item	Indonesian Rupiah	Indonesian Rupiah			(-2147483648, -2147483648)	(1, 1)
menu item	Iranian Rial	Iranian Rial			(-2147483648, -2147483648)	(1, 1)
menu item	Israeli New Shekel	Israeli New Shekel			(-2147483648, -2147483648)	(1, 1)
menu item	Japanese Yen	Japanese Yen			(-2147483648, -2147483648)	(1, 1)
menu item	Kazakhstani Tenge	Kazakhstani Tenge			(-2147483648, -2147483648)	(1, 1)
menu item	Kuwaiti Dinar	Kuwaiti Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Libyan Dinar	Libyan Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Malaysian Ringgit	Malaysian Ringgit			(-2147483648, -2147483648)	(1, 1)
menu item	Mauritian Rupee	Mauritian Rupee			(-2147483648, -2147483648)	(1, 1)
menu item	Mexican Peso	Mexican Peso			(-2147483648, -2147483648)	(1, 1)
menu item	Nepalese Rupee	Nepalese Rupee			(-2147483648, -2147483648)	(1, 1)
menu item	New Romanian Leu	New Romanian Leu			(-2147483648, -2147483648)	(1, 1)
menu item	New Zealand Dollar	New Zealand Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Norwegian Krone	Norwegian Krone			(-2147483648, -2147483648)	(1, 1)
menu item	Omani Rial	Omani Rial			(-2147483648, -2147483648)	(1, 1)
menu item	Pakistani Rupee	Pakistani Rupee			(-2147483648, -2147483648)	(1, 1)
menu item	Peruvian Nuevo Sol	Peruvian Nuevo Sol			(-2147483648, -2147483648)	(1, 1)
menu item	Philippine Peso	Philippine Peso			(-2147483648, -2147483648)	(1, 1)
menu item	Polish Zloty	Polish Zloty			(-2147483648, -2147483648)	(1, 1)
menu item	Qatari Riyal	Qatari Riyal			(-2147483648, -2147483648)	(1, 1)
menu item	Russian Rouble	Russian Rouble			(-2147483648, -2147483648)	(1, 1)
menu item	Saudi Riyal	Saudi Riyal			(-2147483648, -2147483648)	(1, 1)
menu item	Serbian Dinar	Serbian Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Singapore Dollar	Singapore Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	South African Rand	South African Rand			(-2147483648, -2147483648)	(1, 1)
menu item	South Korean Won	South Korean Won			(-2147483648, -2147483648)	(1, 1)
menu item	Sri Lankan Rupee	Sri Lankan Rupee			(-2147483648, -2147483648)	(1, 1)
menu item	Swedish Krona	Swedish Krona			(-2147483648, -2147483648)	(1, 1)
menu item	Swiss Franc	Swiss Franc			(-2147483648, -2147483648)	(1, 1)
menu item	Thai Baht	Thai Baht			(-2147483648, -2147483648)	(1, 1)
menu item	T&T Dollar (TTD)	T&T Dollar (TTD)			(-2147483648, -2147483648)	(1, 1)
menu item	Tunisian Dinar	Tunisian Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Turkish Lira	Turkish Lira			(-2147483648, -2147483648)	(1, 1)
menu item	UAE Dirham	UAE Dirham			(-2147483648, -2147483648)	(1, 1)
menu item	Uruguayan Peso	Uruguayan Peso			(-2147483648, -2147483648)	(1, 1)
menu item	US Dollar	US Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Venezuelan Bolívar	Venezuelan Bolívar			(-2147483648, -2147483648)	(1, 1)
push button	 to 	 to 			(-2147483648, -2147483648)	(1, 1)
combo box					(-2147483648, -2147483648)	(1, 1)
push button	⇆	⇆		Switch conversion units	(-2147483648, -2147483648)	(1, 1)
label					(-2147483648, -2147483648)	(1, 1)
label	=	=			(-2147483648, -2147483648)	(1, 1)
label					(-2147483648, -2147483648)	(1, 1)
label					(-2147483648, -2147483648)	(1, 1)
label	=	=			(-2147483648, -2147483648)	(1, 1)
label					(-2147483648, -2147483648)	(1, 1)
toggle button					(-2147483648, -2147483648)	(1, 1)
combo box	Decimal	Decimal			(82, 260)	(126, 34)
menu item	Binary	Binary			(-2147483648, -2147483648)	(1, 1)
menu item	Octal	Octal			(-2147483648, -2147483648)	(1, 1)
menu item	Decimal	Decimal			(-2147483648, -2147483648)	(1, 1)
menu item	Hexadecimal	Hexadecimal			(-2147483648, -2147483648)	(1, 1)
label	7₈ = 7₁₆	7₈ = 7₁₆			(320, 260)	(56, 34)
toggle button					(376, 260)	(42, 34)
label	15	15			(91, 377)	(40, 24)
label	47	47			(91, 329)	(40, 24)
push button	1	1		0	(356, 377)	(13, 24)
push button	1	1		1	(343, 377)	(13, 24)
push button	1	1		2	(330, 377)	(13, 24)
push button	0	0		3	(317, 377)	(13, 24)
push button	0	0		4	(294, 377)	(13, 24)
push button	0	0		5	(281, 377)	(13, 24)
push button	0	0		6	(268, 377)	(13, 24)
push button	0	0		7	(255, 377)	(13, 24)
push button	0	0		8	(232, 377)	(13, 24)
push button	0	0		9	(219, 377)	(13, 24)
push button	0	0		10	(206, 377)	(13, 24)
push button	0	0		11	(193, 377)	(13, 24)
push button	0	0		12	(170, 377)	(13, 24)
push button	0	0		13	(157, 377)	(13, 24)
push button	0	0		14	(144, 377)	(13, 24)
push button	0	0		15	(131, 377)	(13, 24)
push button	0	0		16	(356, 353)	(13, 24)
push button	0	0		17	(343, 353)	(13, 24)
push button	0	0		18	(330, 353)	(13, 24)
push button	0	0		19	(317, 353)	(13, 24)
