tag	name	text	class	description	position (top-left x&y)	size (w&h)
push button	Undo	Undo		Undo [Ctrl+Z]	(75, 26)	(68, 46)
toggle button	Mode selection	Mode selection			(169, 26)	(87, 46)
toggle button	Primary menu	Primary menu			(262, 26)	(36, 46)
combo box					(-2147483648, -2147483648)	(1, 1)
menu item	Degrees	Degrees			(-2147483648, -2147483648)	(1, 1)
menu item	Radians	Radians			(-2147483648, -2147483648)	(1, 1)
menu item	Gradians	Gradians			(-2147483648, -2147483648)	(1, 1)
menu item	Parsecs	Parsecs			(-2147483648, -2147483648)	(1, 1)
menu item	Light Years	Light Years			(-2147483648, -2147483648)	(1, 1)
menu item	Astronomical Units	Astronomical Units			(-2147483648, -2147483648)	(1, 1)
menu item	Rack Units	Rack Units			(-2147483648, -2147483648)	(1, 1)
menu item	Nautical Miles	Nautical Miles			(-2147483648, -2147483648)	(1, 1)
menu item	Miles	Miles			(-2147483648, -2147483648)	(1, 1)
menu item	Kilometers	Kilometers			(-2147483648, -2147483648)	(1, 1)
menu item	Cables	Cables			(-2147483648, -2147483648)	(1, 1)
menu item	Fathoms	Fathoms			(-2147483648, -2147483648)	(1, 1)
menu item	Meters	Meters			(-2147483648, -2147483648)	(1, 1)
menu item	Yards	Yards			(-2147483648, -2147483648)	(1, 1)
menu item	Feet	Feet			(-2147483648, -2147483648)	(1, 1)
menu item	Inches	Inches			(-2147483648, -2147483648)	(1, 1)
menu item	Centimeters	Centimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Millimeters	Millimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Micrometers	Micrometers			(-2147483648, -2147483648)	(1, 1)
menu item	Nanometers	Nanometers			(-2147483648, -2147483648)	(1, 1)
menu item	Desktop Publishing Point	Desktop Publishing Point			(-2147483648, -2147483648)	(1, 1)
menu item	Kilometers per hour	Kilometers per hour			(-2147483648, -2147483648)	(1, 1)
menu item	Miles per hour	Miles per hour			(-2147483648, -2147483648)	(1, 1)
menu item	Meters per second	Meters per second			(-2147483648, -2147483648)	(1, 1)
menu item	Feet per second	Feet per second			(-2147483648, -2147483648)	(1, 1)
menu item	Knots	Knots			(-2147483648, -2147483648)	(1, 1)
menu item	Hectares	Hectares			(-2147483648, -2147483648)	(1, 1)
menu item	Acres	Acres			(-2147483648, -2147483648)	(1, 1)
menu item	Square Foot	Square Foot			(-2147483648, -2147483648)	(1, 1)
menu item	Square Meters	Square Meters			(-2147483648, -2147483648)	(1, 1)
menu item	Square Centimeters	Square Centimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Square Millimeters	Square Millimeters			(-2147483648, -2147483648)	(1, 1)
menu item	Cubic Meters	Cubic Meters			(-2147483648, -2147483648)	(1, 1)
menu item	US Gallons	US Gallons			(-2147483648, -2147483648)	(1, 1)
menu item	Liters	Liters			(-2147483648, -2147483648)	(1, 1)
menu item	US Quarts	US Quarts			(-2147483648, -2147483648)	(1, 1)
menu item	US Pints	US Pints			(-2147483648, -2147483648)	(1, 1)
menu item	Metric Cups	Metric Cups			(-2147483648, -2147483648)	(1, 1)
menu item	Milliliters	Milliliters			(-2147483648, -2147483648)	(1, 1)
menu item	Microliters	Microliters			(-2147483648, -2147483648)	(1, 1)
menu item	Tonnes	Tonnes			(-2147483648, -2147483648)	(1, 1)
menu item	Kilograms	Kilograms			(-2147483648, -2147483648)	(1, 1)
menu item	Pounds	Pounds			(-2147483648, -2147483648)	(1, 1)
menu item	Ounces	Ounces			(-2147483648, -2147483648)	(1, 1)
menu item	Grams	Grams			(-2147483648, -2147483648)	(1, 1)
menu item	Stone	Stone			(-2147483648, -2147483648)	(1, 1)
menu item	Centuries	Centuries			(-2147483648, -2147483648)	(1, 1)
menu item	Decades	Decades			(-2147483648, -2147483648)	(1, 1)
menu item	Years	Years			(-2147483648, -2147483648)	(1, 1)
menu item	Months	Months			(-2147483648, -2147483648)	(1, 1)
menu item	Weeks	Weeks			(-2147483648, -2147483648)	(1, 1)
menu item	Days	Days			(-2147483648, -2147483648)	(1, 1)
menu item	Hours	Hours			(-2147483648, -2147483648)	(1, 1)
menu item	Minutes	Minutes			(-2147483648, -2147483648)	(1, 1)
menu item	Seconds	Seconds			(-2147483648, -2147483648)	(1, 1)
menu item	Milliseconds	Milliseconds			(-2147483648, -2147483648)	(1, 1)
menu item	Microseconds	Microseconds			(-2147483648, -2147483648)	(1, 1)
menu item	Hertz	Hertz			(-2147483648, -2147483648)	(1, 1)
menu item	Kilohertz	Kilohertz			(-2147483648, -2147483648)	(1, 1)
menu item	Megahertz	Megahertz			(-2147483648, -2147483648)	(1, 1)
menu item	Gigahertz	Gigahertz			(-2147483648, -2147483648)	(1, 1)
menu item	Terahertz	Terahertz			(-2147483648, -2147483648)	(1, 1)
menu item	Celsius	Celsius			(-2147483648, -2147483648)	(1, 1)
menu item	Fahrenheit	Fahrenheit			(-2147483648, -2147483648)	(1, 1)
menu item	Kelvin	Kelvin			(-2147483648, -2147483648)	(1, 1)
menu item	Rankine	Rankine			(-2147483648, -2147483648)	(1, 1)
menu item	Bits	Bits			(-2147483648, -2147483648)	(1, 1)
menu item	Bytes	Bytes			(-2147483648, -2147483648)	(1, 1)
menu item	Nibbles	Nibbles			(-2147483648, -2147483648)	(1, 1)
menu item	Kilobits	Kilobits			(-2147483648, -2147483648)	(1, 1)
menu item	Kilobytes	Kilobytes			(-2147483648, -2147483648)	(1, 1)
menu item	Kibibits	Kibibits			(-2147483648, -2147483648)	(1, 1)
menu item	Kibibytes	Kibibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Megabits	Megabits			(-2147483648, -2147483648)	(1, 1)
menu item	Megabytes	Megabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Mebibits	Mebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Mebibytes	Mebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Gigabits	Gigabits			(-2147483648, -2147483648)	(1, 1)
menu item	Gigabytes	Gigabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Gibibits	Gibibits			(-2147483648, -2147483648)	(1, 1)
menu item	Gibibytes	Gibibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Terabits	Terabits			(-2147483648, -2147483648)	(1, 1)
menu item	Terabytes	Terabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Tebibits	Tebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Tebibytes	Tebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Petabits	Petabits			(-2147483648, -2147483648)	(1, 1)
menu item	Petabytes	Petabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Pebibits	Pebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Pebibytes	Pebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Exabits	Exabits			(-2147483648, -2147483648)	(1, 1)
menu item	Exabytes	Exabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Exbibits	Exbibits			(-2147483648, -2147483648)	(1, 1)
menu item	Exbibytes	Exbibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Zettabits	Zettabits			(-2147483648, -2147483648)	(1, 1)
menu item	Zettabytes	Zettabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Zebibits	Zebibits			(-2147483648, -2147483648)	(1, 1)
menu item	Zebibytes	Zebibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Yottabits	Yottabits			(-2147483648, -2147483648)	(1, 1)
menu item	Yottabytes	Yottabytes			(-2147483648, -2147483648)	(1, 1)
menu item	Yobibits	Yobibits			(-2147483648, -2147483648)	(1, 1)
menu item	Yobibytes	Yobibytes			(-2147483648, -2147483648)	(1, 1)
menu item	Algerian Dinar	Algerian Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Australian Dollar	Australian Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Bahraini Dinar	Bahraini Dinar			(-2147483648, -2147483648)	(1, 1)
menu item	Bangladeshi Taka	Bangladeshi Taka			(-2147483648, -2147483648)	(1, 1)
menu item	Botswana Pula	Botswana Pula			(-2147483648, -2147483648)	(1, 1)
menu item	Brazilian Real	Brazilian Real			(-2147483648, -2147483648)	(1, 1)
menu item	British Pound Sterling	British Pound Sterling			(-2147483648, -2147483648)	(1, 1)
menu item	Brunei Dollar	Brunei Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Bulgarian Lev	Bulgarian Lev			(-2147483648, -2147483648)	(1, 1)
menu item	Canadian Dollar	Canadian Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	CFA Franc	CFA Franc			(-2147483648, -2147483648)	(1, 1)
menu item	Chilean Peso	Chilean Peso			(-2147483648, -2147483648)	(1, 1)
menu item	Chinese Yuan	Chinese Yuan			(-2147483648, -2147483648)	(1, 1)
menu item	Colombian Peso	Colombian Peso			(-2147483648, -2147483648)	(1, 1)
menu item	Croatian Kuna	Croatian Kuna			(-2147483648, -2147483648)	(1, 1)
menu item	Czech Koruna	Czech Koruna			(-2147483648, -2147483648)	(1, 1)
menu item	Danish Krone	Danish Krone			(-2147483648, -2147483648)	(1, 1)
menu item	Estonian Kroon	Estonian Kroon			(-2147483648, -2147483648)	(1, 1)
menu item	Euro	Euro			(-2147483648, -2147483648)	(1, 1)
menu item	Hong Kong Dollar	Hong Kong Dollar			(-2147483648, -2147483648)	(1, 1)
menu item	Hungarian Forint	Hungarian Forint			(-2147483648, -2147483648)	(1, 1)
menu item	Icelandic Krona	Icelandic Krona			(-2147483648, -2147483648)	(1, 1)
menu item	Indian Rupee	Indian Rupee			(-2147483648, -2147483648)	(1, 1)
menu item	Indonesian Rupiah	Indonesian Rupiah			(-2147483648, -2147483648)	(1, 1)
menu item	Iranian Rial	Iranian Rial			(-2147483648, -2147483648)	(1, 1)
