tag	name	text	class	description	position (top-left x&y)	size (w&h)
push button	Undo	Undo		Undo [Ctrl+Z]	(75, 26)	(68, 46)
toggle button	Mode selection	Mode selection			(149, 26)	(107, 46)
toggle button	Primary menu	Primary menu			(262, 26)	(36, 46)
combo box	Decimal	Decimal			(82, 260)	(126, 34)
label	6₈ = 6₁₆	6₈ = 6₁₆			(320, 260)	(56, 34)
toggle button					(376, 260)	(42, 34)
label	15	15			(91, 377)	(40, 24)
label	47	47			(91, 329)	(40, 24)
push button	0	0		0	(356, 377)	(13, 24)
push button	1	1		1	(343, 377)	(13, 24)
push button	1	1		2	(330, 377)	(13, 24)
push button	0	0		3	(317, 377)	(13, 24)
push button	0	0		4	(294, 377)	(13, 24)
push button	0	0		5	(281, 377)	(13, 24)
push button	0	0		6	(268, 377)	(13, 24)
push button	0	0		7	(255, 377)	(13, 24)
push button	0	0		8	(232, 377)	(13, 24)
push button	0	0		9	(219, 377)	(13, 24)
push button	0	0		10	(206, 377)	(13, 24)
push button	0	0		11	(193, 377)	(13, 24)
push button	0	0		12	(170, 377)	(13, 24)
push button	0	0		13	(157, 377)	(13, 24)
push button	0	0		14	(144, 377)	(13, 24)
push button	0	0		15	(131, 377)	(13, 24)
push button	0	0		16	(356, 353)	(13, 24)
push button	0	0		17	(343, 353)	(13, 24)
push button	0	0		18	(330, 353)	(13, 24)
push button	0	0		19	(317, 353)	(13, 24)
push button	0	0		20	(294, 353)	(13, 24)
push button	0	0		21	(281, 353)	(13, 24)
push button	0	0		22	(268, 353)	(13, 24)
push button	0	0		23	(255, 353)	(13, 24)
push button	0	0		24	(232, 353)	(13, 24)
push button	0	0		25	(219, 353)	(13, 24)
push button	0	0		26	(206, 353)	(13, 24)
push button	0	0		27	(193, 353)	(13, 24)
push button	0	0		28	(170, 353)	(13, 24)
push button	0	0		29	(157, 353)	(13, 24)
push button	0	0		30	(144, 353)	(13, 24)
push button	0	0		31	(131, 353)	(13, 24)
label	 0	 0			(369, 377)	(36, 24)
label	16	16			(369, 353)	(40, 24)
label	32	32			(369, 329)	(40, 24)
label	48	48			(369, 305)	(40, 24)
label	31	31			(91, 353)	(40, 24)
label	63	63			(91, 305)	(40, 24)
push button	0	0		47	(131, 329)	(13, 24)
push button	0	0		46	(144, 329)	(13, 24)
push button	0	0		45	(157, 329)	(13, 24)
push button	0	0		44	(170, 329)	(13, 24)
push button	0	0		43	(193, 329)	(13, 24)
push button	0	0		42	(206, 329)	(13, 24)
push button	0	0		41	(219, 329)	(13, 24)
push button	0	0		40	(232, 329)	(13, 24)
push button	0	0		39	(255, 329)	(13, 24)
push button	0	0		38	(268, 329)	(13, 24)
push button	0	0		37	(281, 329)	(13, 24)
push button	0	0		36	(294, 329)	(13, 24)
push button	0	0		35	(317, 329)	(13, 24)
push button	0	0		34	(330, 329)	(13, 24)
push button	0	0		33	(343, 329)	(13, 24)
push button	0	0		32	(356, 329)	(13, 24)
push button	0	0		48	(356, 305)	(13, 24)
push button	0	0		49	(343, 305)	(13, 24)
push button	0	0		50	(330, 305)	(13, 24)
push button	0	0		51	(317, 305)	(13, 24)
push button	0	0		52	(294, 305)	(13, 24)
push button	0	0		53	(281, 305)	(13, 24)
push button	0	0		54	(268, 305)	(13, 24)
push button	0	0		55	(255, 305)	(13, 24)
push button	0	0		56	(232, 305)	(13, 24)
push button	0	0		57	(219, 305)	(13, 24)
push button	0	0		58	(206, 305)	(13, 24)
push button	0	0		59	(193, 305)	(13, 24)
push button	0	0		60	(170, 305)	(13, 24)
push button	0	0		61	(157, 305)	(13, 24)
push button	0	0		62	(144, 305)	(13, 24)
push button	0	0		63	(131, 305)	(13, 24)
push button	)	)		End Group [)]	(218, 418)	(64, 44)
push button	(	(		Start Group [(]	(150, 418)	(64, 44)
push button	mod	mod		Modulus divide	(286, 418)	(64, 44)
push button	,	,			(354, 514)	(64, 44)
push button	F	F			(235, 466)	(47, 44)
push button	E	E			(184, 466)	(47, 44)
push button	D	D			(133, 466)	(47, 44)
push button	C	C			(82, 466)	(47, 44)
push button	B	B			(235, 514)	(47, 44)
push button	A	A			(184, 514)	(47, 44)
push button	9	9			(133, 514)	(47, 44)
push button	8	8			(82, 514)	(47, 44)
push button	7	7			(235, 562)	(47, 44)
push button	6	6			(184, 562)	(47, 44)
push button	5	5			(133, 562)	(47, 44)
push button	4	4			(82, 562)	(47, 44)
push button	3	3			(235, 610)	(47, 44)
push button	2	2			(184, 610)	(47, 44)
push button	1	1			(133, 610)	(47, 44)
push button	0	0			(82, 610)	(47, 44)
push button				Clear Display [Escape]	(82, 418)	(64, 44)
push button	=	=		Calculate Result	(354, 562)	(64, 92)
push button	+	+		Add [+]	(286, 610)	(64, 44)
push button	−	−		Subtract [-]	(286, 562)	(64, 44)
push button	×	×		Multiply [*]	(286, 514)	(64, 44)
push button	÷	÷		Divide [/]	(286, 466)	(64, 44)
push button	π	π		Pi [Ctrl+P]	(354, 418)	(64, 44)
push button	√	√		Root [Ctrl+R]	(354, 466)	(64, 44)
label	8	8		8	(319, 92)	(92, 22)
label	=	=			(273, 92)	(46, 22)
label	3+5	3+5		3+5	(85, 92)	(188, 22)
label	28	28		28	(319, 127)	(92, 22)
label	=	=			(273, 127)	(46, 22)
label	7×4	7×4		7×4	(85, 127)	(188, 22)
label	7	7		7	(319, 162)	(92, 22)
label	=	=			(273, 162)	(46, 22)
label	9−2	9−2		9−2	(85, 162)	(188, 22)
text					(70, 232)	(360, 21)
